Date,Profit
2007-08-15,18479.0
2007-08-16,18479.0
2007-08-17,18479.0
2007-08-20,19126.0
2007-08-21,19735.0
2007-08-22,21665.0
2007-08-23,21768.0
2007-08-24,22918.0
2007-08-27,22998.0
2007-08-28,21565.0
2007-08-29,22655.0
2007-08-30,22778.0
2007-08-31,24557.0
2007-09-03,24753.0
2007-09-04,25170.0
2007-09-05,24328.0
2007-09-06,24489.0
2007-09-10,22573.0
2007-09-11,23841.0
2007-09-12,23803.0
2007-09-13,24828.0
2007-09-14,24591.0
2007-09-17,24261.0
2007-09-18,24261.0
2007-09-19,24859.0
2007-09-20,24501.0
2007-09-21,25394.0
2007-09-24,26314.0
2007-09-25,26453.0
2007-09-26,27310.0
2007-09-27,28647.0
2007-09-28,28060.0
2007-10-01,29935.0
2007-10-02,29612.0
2007-10-03,27694.0
2007-10-04,28002.0
2007-10-05,29914.0
2007-10-08,30256.0
2007-10-09,31144.0
2007-10-10,30792.0
2007-10-11,30051.0
2007-10-15,30051.0
2007-10-16,28800.0
2007-10-17,30276.0
2007-10-18,30343.0
2007-10-19,27976.0
2007-10-22,28297.0
2007-10-23,29779.0
2007-10-24,29707.0
2007-10-25,29423.0
2007-10-26,31358.0
2007-10-29,32126.0
2007-10-30,31465.0
2007-10-31,32400.0
2007-11-01,31132.0
2007-11-05,30042.0
2007-11-06,31585.0
2007-11-07,30583.0
2007-11-08,30644.0
2007-11-09,31403.0
2007-11-12,28609.0
2007-11-13,30009.0
2007-11-14,31713.0
2007-11-16,31691.0
2007-11-19,29418.0
2007-11-21,27664.0
2007-11-22,27664.0
2007-11-23,27982.0
2007-11-26,26080.0
2007-11-27,26443.0
2007-11-28,28726.0
2007-11-29,29167.0
2007-11-30,30017.0
2007-12-03,30211.0
2007-12-04,30493.0
2007-12-05,31939.0
2007-12-06,32802.0
2007-12-07,32650.0
2007-12-10,32457.0
2007-12-11,31523.0
2007-12-12,31753.0
2007-12-13,29872.0
2007-12-14,29456.0
2007-12-17,26839.0
2007-12-18,26839.0
2007-12-19,27465.0
2007-12-20,27459.0
2007-12-21,28841.0
2007-12-26,30031.0
2007-12-27,29517.0
2007-12-28,29629.0
2008-01-02,28558.0
2008-01-03,28635.0
2008-01-04,26780.0
2008-01-07,26515.0
2008-01-08,27824.0
2008-01-09,28417.0
2008-01-10,29258.0
2008-01-11,27685.0
2008-01-14,27931.0
2008-01-15,25650.0
2008-01-16,24520.0
2008-01-17,22780.0
2008-01-18,23249.0
2008-01-21,19452.0
2008-01-22,21840.0
2008-01-23,19978.0
2008-01-24,23206.0
2008-01-28,24337.0
2008-01-29,25273.0
2008-01-30,26032.0
2008-01-31,25233.0
2008-02-01,26823.0
2008-02-06,24712.0
2008-02-07,24708.0
2008-02-08,24819.0
2008-02-11,26386.0
2008-02-12,27548.0
2008-02-13,28334.0
2008-02-14,27562.0
2008-02-15,27015.0
2008-02-18,27015.0
2008-02-19,26511.0
2008-02-20,27961.0
2008-02-21,28006.0
2008-02-22,28823.0
2008-02-25,29215.0
2008-02-26,29397.0
2008-02-27,29709.0
2008-02-28,29769.0
2008-02-29,27703.0
2008-03-03,28704.0
2008-03-04,27870.0
2008-03-05,28843.0
2008-03-06,27189.0
2008-03-07,26082.0
2008-03-10,24213.0
2008-03-11,26582.0
2008-03-12,26391.0
2008-03-13,26494.0
2008-03-14,26205.0
2008-03-17,24226.0
2008-03-18,24226.0
2008-03-19,21120.0
